trend_renko_size,entry_renko_size,min_trend_blocks,pullback_min_blocks,pullback_max_blocks,target_points,stop_points,break_even_trigger,trailing_enabled,cooldown_bars,total_trades,win_rate,profit_factor,sharpe,sortino,expectancy,max_drawdown,average_winner,average_loser,long_trades,short_trades,long_win_rate,short_win_rate,score
12.5,4.0,2,2,3,20.0,10.0,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,10.0,0.0,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,10.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,10.0,0.0,True,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,10.0,10.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,10.0,10.0,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,10.0,10.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,10.0,10.0,True,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,12.0,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,12.0,0.0,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,12.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,12.0,0.0,True,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,12.0,10.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,12.0,10.0,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,12.0,10.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,12.0,10.0,True,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,15.0,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,15.0,0.0,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,15.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,15.0,0.0,True,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,15.0,10.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,15.0,10.0,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,15.0,10.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,20.0,15.0,10.0,True,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,24.0,10.0,0.0,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,24.0,10.0,0.0,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
12.5,4.0,2,2,3,24.0,10.0,0.0,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
